word,translation1,translation2,category,example
Hallo,Hello,Hola,saludo,Hallo! Wie geht es Ihnen?
Guten Morgen,Good morning,Buenos días,saludo,Guten Morgen! Haben Sie gut geschlafen?
Guten Tag,Good day,Buenos días / Buenas tardes,saludo,Guten Tag! Was kann ich für Sie tun?
Guten Abend,Good evening,Buenas noches,saludo,Guten Abend! Schön Sie zu sehen.
Gute Nacht,Good night,Buenas noches,saludo,Gute Nacht! Schlaft gut.
Auf Wiedersehen,Goodbye,Adiós,saludo,Auf Wiedersehen! Bis nächste Woche.
Auf Wiederhören,Goodbye (phone),Adiós (por teléfono),saludo,Auf Wiederhören! Ich rufe Sie morgen an.
Tschüss,Bye (informal),Adiós (informal),saludo,Tschüss! Bis morgen!
Servus,Hi / Bye (Bavarian),Hola / Adiós (bávaro),saludo,Servus! Wie geht's?
Danke,Thank you,Gracias,cortesía,Danke für Ihre Hilfe!
Danke schön,Thank you very much,Muchas gracias,cortesía,Danke schön für das Geschenk!
Bitte,Please / You're welcome,Por favor / De nada,cortesía,Bitte helfen Sie mir.
Bitte schön,Here you go / You're welcome,De nada / Con mucho gusto,cortesía,Bitte schön! Gerne.
Gerne,With pleasure,Con gusto,cortesía,Ich helfe Ihnen gerne.
Entschuldigung,Excuse me / Sorry,Perdón / Disculpe,cortesía,Entschuldigung! Wo ist der Bahnhof?
Entschuldigen Sie,Excuse me (formal),Disculpe (formal),cortesía,Entschuldigen Sie bitte. Ich habe nicht verstanden.
Verzeihung,Pardon / Forgive me,Perdón / Disculpe,cortesía,Verzeihung! Das war mein Fehler.
Ja,Yes,Sí,básico,Ja! Das stimmt.
Nein,No,No,básico,Nein! Das ist falsch.
Vielleicht,Maybe / Perhaps,Quizá / Tal vez,básico,Vielleicht komme ich morgen.
Genau,Exactly / Right,Exacto / Correcto,comunicación,Genau! Du hast recht.
Okay,Okay / Alright,De acuerdo,comunicación,Okay! Verstanden.
Wie heißt du?,What is your name?,¿Cómo te llamas?,comunicación,Wie heißt du? Ich heiße Anna.
Ich heiße...,My name is...,Me llamo...,comunicación,Ich heiße Thomas. Und du?
Ich bin...,I am...,Soy...,comunicación,Ich bin aus Deutschland.
Wie geht es Ihnen?,How are you? (formal),¿Cómo está usted?,comunicación,Wie geht es Ihnen heute?
Wie geht es dir?,How are you?,¿Cómo estás?,comunicación,Wie geht es dir? Gut?
Mir geht es gut,I am fine / I am well,Me va bien,comunicación,Mir geht es gut. Danke!
Mir geht es nicht so gut,I'm not doing so well,No me va muy bien,comunicación,Mir geht es heute nicht so gut.
Ich verstehe,I understand,Entiendo,comunicación,Ich verstehe das Problem.
Ich verstehe nicht,I don't understand,No entiendo,comunicación,Entschuldigung. Ich verstehe nicht.
Können Sie langsamer sprechen?,Can you speak more slowly?,¿Puede hablar más lentamente?,comunicación,Können Sie bitte langsamer sprechen?
Können Sie das wiederholen?,Can you repeat that?,¿Puede repetir eso?,comunicación,Können Sie das bitte wiederholen?
Was bedeutet das?,What does that mean?,¿Qué significa eso?,comunicación,Was bedeutet das Wort?
Wie sagt man...?,How do you say...?,¿Cómo se dice...?,comunicación,Wie sagt man 'danke' auf Englisch?
Sprechen Sie Englisch?,Do you speak English?,¿Habla inglés?,comunicación,Sprechen Sie Englisch, bitte?
Ich spreche kein Deutsch,I don't speak German,No hablo alemán,comunicación,Ich spreche noch kein Deutsch.
Ich lerne Deutsch,I am learning German,Estoy aprendiendo alemán,comunicación,Ich lerne Deutsch seit drei Monaten.
Können Sie mir helfen?,Can you help me?,¿Puede ayudarme?,ayuda,Können Sie mir helfen, bitte?
Wo ist...?,Where is...?,¿Dónde está...?,preguntas,Wo ist die nächste Apotheke?
Wo ist die Toilette?,Where is the bathroom?,¿Dónde está el baño?,preguntas,Entschuldigung. Wo ist die Toilette?
Wo ist der Bahnhof?,Where is the train station?,¿Dónde está la estación?,preguntas,Wo ist der Hauptbahnhof bitte?
Wie komme ich zu...?,How do I get to...?,¿Cómo llego a...?,preguntas,Wie komme ich zum Rathaus?
Wann?,When?,¿Cuándo?,preguntas,Wann beginnt das Spiel?
Wie lange?,How long?,¿Cuánto tiempo?,preguntas,Wie lange dauert die Fahrt?
Wie viel?,How much? (quantity),¿Cuánto?,preguntas,Wie viel kostet das?
Wie viel Uhr?,What time is it?,¿Qué hora es?,preguntas,Wie viel Uhr ist es jetzt?
Was ist das?,What is that?,¿Qué es eso?,preguntas,Was ist das für ein Tier?
Wer ist das?,Who is that?,¿Quién es eso?,preguntas,Wer ist das auf dem Foto?
Warum?,Why?,¿Por qué?,preguntas,Warum ist das Geschäft geschlossen?
Null,Zero,Cero,números,Null Fehler gemacht!
Eins,One,Uno,números,Eins plus eins gleich zwei.
Zwei,Two,Dos,números,Ich habe zwei Katzen.
Drei,Three,Tres,números,Wir brauchen drei Stühle.
Vier,Four,Cuatro,números,Es gibt vier Jahreszeiten.
Fünf,Five,Cinco,números,Ich habe fünf Geschwister.
