/**
 * Palabras de ejemplo para iniciar el diccionario
 * 
 * Copia y pega estas palabras en la herramienta web
 * o importa con: DictionaryHelper.importBatch([...])
 * 
 * Formato CSV (para diccionario-gestor.html):
 * Copia las líneas de abajo en el textarea de "Importar CSV"
 */

// ===== SALUDOS Y CORTESÍA =====
Hallo,Hola,saludo,Hallo, ich bin neu.
Guten Morgen,Buenos días,saludo,Guten Morgen, Herr Schmidt!
Guten Tag,Buenos días/Buenas tardes,saludo,Guten Tag!
Guten Abend,Buenas noches,saludo,Guten Abend, meine Damen!
Gute Nacht,Buenas noches,saludo,Gute Nacht!
Auf Wiedersehen,Adiós,saludo,Auf Wiedersehen!
Auf Wiederhören,Adiós (por teléfono),saludo,Auf Wiederhören!
Tschüss,Adiós (informal),saludo,Tschüss, bis morgen!
Servus,Hola/Adiós (bavaro),saludo,Servus, wie geht's?

Danke,Gracias,cortesía,Danke schön!
Danke schön,Muchas gracias,cortesía,Danke schön für deine Hilfe!
Bitte,Por favor / De nada,cortesía,Bitte schön.
Bitte schön,De nada / Por favor,cortesía,Bitte schön, gerne!
Gerne,Con gusto,cortesía,Gerne, sehr gerne!
Entschuldigung,Perdón / Disculpe,cortesía,Entschuldigung, wo ist die Bushaltestelle?
Entschuldigen Sie,Disculpe (formal),cortesía,Entschuldigen Sie, ich habe nicht verstanden.
Verzeihung,Perdón / Disculpe,cortesía,Verzeihung, ich bin zu spät.

// ===== COMUNICACIÓN BÁSICA =====
Ja,Sí,básico,Ja, das stimmt.
Nein,No,básico,Nein, das ist falsch.
Vielleicht,Quizá / Tal vez,básico,Vielleicht morgen.
Genau,Exacto / Correcto,comunicación,Genau, du hast recht!
Okay,De acuerdo,comunicación,Okay, verstanden.

Wie heißt du?,¿Cómo te llamas?,comunicación,Wie heißt du, bitte?
Ich heiße...,Me llamo...,comunicación,Ich heiße Roger.
Ich bin...,Soy...,comunicación,Ich bin aus Spanien.

Wie geht es dir?,¿Cómo estás?,comunicación,Wie geht es dir heute?
Wie geht es dir?,¿Cómo le va? (formal),comunicación,Wie geht es dir?
Mir geht es gut,Me va bien,comunicación,Mir geht es gut, danke!
Mir geht es nicht so gut,No me va muy bien,comunicación,Mir geht es nicht so gut heute.

Ich verstehe,Entiendo,comunicación,Ich verstehe das.
Ich verstehe nicht,No entiendo,comunicación,Entschuldigung, ich verstehe nicht.
Können Sie langsamer sprechen?,¿Puede hablar más lentamente?,comunicación,Können Sie langsamer sprechen?
Können Sie das wiederholen?,¿Puede repetir eso?,comunicación,Können Sie das wiederholen?
Was bedeutet das?,¿Qué significa eso?,comunicación,Was bedeutet das auf Deutsch?
Wie sagt man...?,¿Cómo se dice...?,comunicación,Wie sagt man 'gracias' auf Deutsch?

Sprechen Sie Englisch?,¿Habla inglés?,comunicación,Sprechen Sie Englisch?
Ich spreche kein Deutsch,No hablo alemán,comunicación,Ich spreche kein Deutsch, tut mir leid.
Ich lerne Deutsch,Estoy aprendiendo alemán,comunicación,Ich lerne Deutsch.

// ===== PREGUNTAS ÚTILES =====
Können Sie mir helfen?,¿Puede ayudarme?,ayuda,Können Sie mir helfen, bitte?
Wo ist...?,¿Dónde está...?,preguntas,Wo ist die Bushaltestelle?
Wo ist die Toilette?,¿Dónde está el baño?,preguntas,Wo ist die Toilette, bitte?
Wo ist der Bahnhof?,¿Dónde está la estación?,preguntas,Wo ist der Bahnhof?
Wie komme ich zu...?,¿Cómo llego a...?,preguntas,Wie komme ich zum Bahnhof?
Wann?,¿Cuándo?,preguntas,Wann beginnt das Konzert?
Wie lange?,¿Cuánto tiempo?,preguntas,Wie lange dauert das?
Wie viel?,¿Cuánto? (cantidad),preguntas,Wie viel kostet das?
Wie viel Uhr?,¿Qué hora es?,preguntas,Wie viel Uhr ist es?

Was ist das?,¿Qué es eso?,preguntas,Was ist das?
Wer ist das?,¿Quién es eso?,preguntas,Wer ist das?
Warum?,¿Por qué?,preguntas,Warum ist das so?

